"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","164","Pay online is loading","","Sun Feb 22 01:45:53 UTC 2026","passed","Sun Feb 22 01:45:54 UTC 2026","","smokeTests.PositiveTests","smokeTests.PositiveTests","payOnlineFormLoads"
"","164","Can start reserving a room","","Sun Feb 22 01:45:53 UTC 2026","passed","Sun Feb 22 01:45:54 UTC 2026","","smokeTests.PositiveTests","smokeTests.PositiveTests","reserveARoomOpens"
"","163","Pay online is working","","Sun Feb 22 01:45:53 UTC 2026","passed","Sun Feb 22 01:45:54 UTC 2026","","smokeTests.PositiveTests","smokeTests.PositiveTests","payOnlineFormWorks"
"","157","Main page can be opened and loaded","","Sun Feb 22 01:45:53 UTC 2026","passed","Sun Feb 22 01:45:54 UTC 2026","","smokeTests.PositiveTests","smokeTests.PositiveTests","openMainPage"
"","163","Search results can be opened and displayed","","Sun Feb 22 01:45:53 UTC 2026","passed","Sun Feb 22 01:45:54 UTC 2026","","smokeTests.PositiveTests","smokeTests.PositiveTests","searchResultsCanBeLoaded"
"","161","Reservation is working","","Sun Feb 22 01:45:53 UTC 2026","passed","Sun Feb 22 01:45:54 UTC 2026","","smokeTests.PositiveTests","smokeTests.PositiveTests","reserveARoomComplete"
