"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","115","Pay online is loading","","Fri Feb 20 11:57:02 UTC 2026","passed","Fri Feb 20 11:57:03 UTC 2026","","smokeTests.PositiveTests","smokeTests.PositiveTests","payOnlineFormLoads"
"","116","Pay online is working","","Fri Feb 20 11:57:02 UTC 2026","passed","Fri Feb 20 11:57:03 UTC 2026","","smokeTests.PositiveTests","smokeTests.PositiveTests","payOnlineFormWorks"
"","118","Reservation is working","","Fri Feb 20 11:57:02 UTC 2026","passed","Fri Feb 20 11:57:03 UTC 2026","","smokeTests.PositiveTests","smokeTests.PositiveTests","reserveARoomComplete"
"","116","Main page can be opened and loaded","","Fri Feb 20 11:57:02 UTC 2026","passed","Fri Feb 20 11:57:03 UTC 2026","","smokeTests.PositiveTests","smokeTests.PositiveTests","openMainPage"
"","117","Search results can be opened and displayed","","Fri Feb 20 11:57:02 UTC 2026","passed","Fri Feb 20 11:57:03 UTC 2026","","smokeTests.PositiveTests","smokeTests.PositiveTests","searchResultsCanBeLoaded"
"","118","Can start reserving a room","","Fri Feb 20 11:57:02 UTC 2026","passed","Fri Feb 20 11:57:03 UTC 2026","","smokeTests.PositiveTests","smokeTests.PositiveTests","reserveARoomOpens"
