"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","95","Search results can be opened and displayed","","Fri Feb 20 12:21:09 UTC 2026","passed","Fri Feb 20 12:21:09 UTC 2026","","smokeTests.PositiveTests","smokeTests.PositiveTests","searchResultsCanBeLoaded"
"","106","Reservation is working","","Fri Feb 20 12:21:09 UTC 2026","passed","Fri Feb 20 12:21:09 UTC 2026","","smokeTests.PositiveTests","smokeTests.PositiveTests","reserveARoomComplete"
"","105","Pay online is loading","","Fri Feb 20 12:21:09 UTC 2026","passed","Fri Feb 20 12:21:09 UTC 2026","","smokeTests.PositiveTests","smokeTests.PositiveTests","payOnlineFormLoads"
"","106","Main page can be opened and loaded","","Fri Feb 20 12:21:09 UTC 2026","passed","Fri Feb 20 12:21:09 UTC 2026","","smokeTests.PositiveTests","smokeTests.PositiveTests","openMainPage"
"","108","Can start reserving a room","","Fri Feb 20 12:21:09 UTC 2026","passed","Fri Feb 20 12:21:09 UTC 2026","","smokeTests.PositiveTests","smokeTests.PositiveTests","reserveARoomOpens"
"","107","Pay online is working","","Fri Feb 20 12:21:09 UTC 2026","passed","Fri Feb 20 12:21:09 UTC 2026","","smokeTests.PositiveTests","smokeTests.PositiveTests","payOnlineFormWorks"
