"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","141","Main page can be opened and loaded","","Sun Feb 22 02:26:41 UTC 2026","passed","Sun Feb 22 02:26:41 UTC 2026","","smokeTests.PositiveTests","smokeTests.PositiveTests","openMainPage"
"","140","Search results can be opened and displayed","","Sun Feb 22 02:26:41 UTC 2026","passed","Sun Feb 22 02:26:41 UTC 2026","","smokeTests.PositiveTests","smokeTests.PositiveTests","searchResultsCanBeLoaded"
"","1","Reservation is working","","Sun Feb 22 02:26:41 UTC 2026","skipped","Sun Feb 22 02:26:41 UTC 2026","","smokeTests.PositiveTests","smokeTests.PositiveTests","reserveARoomComplete"
"","143","Can start reserving a room","","Sun Feb 22 02:26:41 UTC 2026","passed","Sun Feb 22 02:26:41 UTC 2026","","smokeTests.PositiveTests","smokeTests.PositiveTests","reserveARoomOpens"
"","142","Pay online is loading","","Sun Feb 22 02:26:41 UTC 2026","passed","Sun Feb 22 02:26:41 UTC 2026","","smokeTests.PositiveTests","smokeTests.PositiveTests","payOnlineFormLoads"
"","142","Pay online is working","","Sun Feb 22 02:26:41 UTC 2026","passed","Sun Feb 22 02:26:41 UTC 2026","","smokeTests.PositiveTests","smokeTests.PositiveTests","payOnlineFormWorks"
