"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","143","Pay online is loading","","Wed Feb 25 16:36:07 UTC 2026","passed","Wed Feb 25 16:36:07 UTC 2026","","smokeTests.PositiveTests","smokeTests.PositiveTests","payOnlineFormLoads"
"","143","Can start reserving a room","","Wed Feb 25 16:36:07 UTC 2026","passed","Wed Feb 25 16:36:07 UTC 2026","","smokeTests.PositiveTests","smokeTests.PositiveTests","reserveARoomOpens"
"","143","Main page can be opened and loaded","","Wed Feb 25 16:36:07 UTC 2026","passed","Wed Feb 25 16:36:07 UTC 2026","","smokeTests.PositiveTests","smokeTests.PositiveTests","openMainPage"
"","146","Pay online is working","","Wed Feb 25 16:36:07 UTC 2026","passed","Wed Feb 25 16:36:07 UTC 2026","","smokeTests.PositiveTests","smokeTests.PositiveTests","payOnlineFormWorks"
"","142","Search results can be opened and displayed","","Wed Feb 25 16:36:07 UTC 2026","passed","Wed Feb 25 16:36:07 UTC 2026","","smokeTests.PositiveTests","smokeTests.PositiveTests","searchResultsCanBeLoaded"
"","1","Reservation is working","","Wed Feb 25 16:36:07 UTC 2026","skipped","Wed Feb 25 16:36:07 UTC 2026","","smokeTests.PositiveTests","smokeTests.PositiveTests","reserveARoomComplete"
