"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","176","Search results can be opened and displayed","","Wed Feb 25 21:20:08 UTC 2026","passed","Wed Feb 25 21:20:08 UTC 2026","","smokeTests.PositiveTests","smokeTests.PositiveTests","searchResultsCanBeLoaded"
"","177","Main page can be opened and loaded","","Wed Feb 25 21:20:08 UTC 2026","passed","Wed Feb 25 21:20:08 UTC 2026","","smokeTests.PositiveTests","smokeTests.PositiveTests","openMainPage"
"","174","Pay online is loading","","Wed Feb 25 21:20:08 UTC 2026","passed","Wed Feb 25 21:20:08 UTC 2026","","smokeTests.PositiveTests","smokeTests.PositiveTests","payOnlineFormLoads"
"","1","Reservation is working","","Wed Feb 25 21:20:08 UTC 2026","skipped","Wed Feb 25 21:20:08 UTC 2026","","smokeTests.PositiveTests","smokeTests.PositiveTests","reserveARoomComplete"
"","178","Can start reserving a room","","Wed Feb 25 21:20:08 UTC 2026","passed","Wed Feb 25 21:20:08 UTC 2026","","smokeTests.PositiveTests","smokeTests.PositiveTests","reserveARoomOpens"
"","177","Pay online is working","","Wed Feb 25 21:20:08 UTC 2026","passed","Wed Feb 25 21:20:08 UTC 2026","","smokeTests.PositiveTests","smokeTests.PositiveTests","payOnlineFormWorks"
