"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","159","Pay online is working","","Thu Feb 26 12:55:29 UTC 2026","passed","Thu Feb 26 12:55:29 UTC 2026","","smokeTests.PositiveTests","smokeTests.PositiveTests","payOnlineFormWorks"
"","159","Main page can be opened and loaded","","Thu Feb 26 12:55:29 UTC 2026","passed","Thu Feb 26 12:55:29 UTC 2026","","smokeTests.PositiveTests","smokeTests.PositiveTests","openMainPage"
"","2","Reservation is working","","Thu Feb 26 12:55:29 UTC 2026","skipped","Thu Feb 26 12:55:29 UTC 2026","","smokeTests.PositiveTests","smokeTests.PositiveTests","reserveARoomComplete"
"","159","Pay online is loading","","Thu Feb 26 12:55:29 UTC 2026","passed","Thu Feb 26 12:55:29 UTC 2026","","smokeTests.PositiveTests","smokeTests.PositiveTests","payOnlineFormLoads"
"","158","Can start reserving a room","","Thu Feb 26 12:55:29 UTC 2026","passed","Thu Feb 26 12:55:29 UTC 2026","","smokeTests.PositiveTests","smokeTests.PositiveTests","reserveARoomOpens"
"","157","Search results can be opened and displayed","","Thu Feb 26 12:55:29 UTC 2026","passed","Thu Feb 26 12:55:29 UTC 2026","","smokeTests.PositiveTests","smokeTests.PositiveTests","searchResultsCanBeLoaded"
