"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","137","Main page can be opened and loaded","","Wed Mar 11 11:57:47 UTC 2026","passed","Wed Mar 11 11:57:48 UTC 2026","","smokeTests.PositiveTests","smokeTests.PositiveTests","openMainPage"
"","135","Pay online is loading","","Wed Mar 11 11:57:47 UTC 2026","passed","Wed Mar 11 11:57:48 UTC 2026","","smokeTests.PositiveTests","smokeTests.PositiveTests","payOnlineFormLoads"
"","134","Pay online is working","","Wed Mar 11 11:57:47 UTC 2026","passed","Wed Mar 11 11:57:48 UTC 2026","","smokeTests.PositiveTests","smokeTests.PositiveTests","payOnlineFormWorks"
"","136","Can start reserving a room","","Wed Mar 11 11:57:47 UTC 2026","passed","Wed Mar 11 11:57:48 UTC 2026","","smokeTests.PositiveTests","smokeTests.PositiveTests","reserveARoomOpens"
"","1","Reservation is working","","Wed Mar 11 11:57:47 UTC 2026","skipped","Wed Mar 11 11:57:47 UTC 2026","","smokeTests.PositiveTests","smokeTests.PositiveTests","reserveARoomComplete"
"","136","Search results can be opened and displayed","","Wed Mar 11 11:57:47 UTC 2026","passed","Wed Mar 11 11:57:48 UTC 2026","","smokeTests.PositiveTests","smokeTests.PositiveTests","searchResultsCanBeLoaded"
