"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","112","Pay online is working","","Sun Feb 22 01:19:16 UTC 2026","passed","Sun Feb 22 01:19:17 UTC 2026","","smokeTests.PositiveTests","smokeTests.PositiveTests","payOnlineFormWorks"
"","114","Search results can be opened and displayed","","Sun Feb 22 01:19:16 UTC 2026","passed","Sun Feb 22 01:19:17 UTC 2026","","smokeTests.PositiveTests","smokeTests.PositiveTests","searchResultsCanBeLoaded"
"","114","Reservation is working","","Sun Feb 22 01:19:16 UTC 2026","passed","Sun Feb 22 01:19:17 UTC 2026","","smokeTests.PositiveTests","smokeTests.PositiveTests","reserveARoomComplete"
"","115","Can start reserving a room","","Sun Feb 22 01:19:16 UTC 2026","passed","Sun Feb 22 01:19:17 UTC 2026","","smokeTests.PositiveTests","smokeTests.PositiveTests","reserveARoomOpens"
"","112","Main page can be opened and loaded","","Sun Feb 22 01:19:16 UTC 2026","passed","Sun Feb 22 01:19:17 UTC 2026","","smokeTests.PositiveTests","smokeTests.PositiveTests","openMainPage"
"","114","Pay online is loading","","Sun Feb 22 01:19:16 UTC 2026","passed","Sun Feb 22 01:19:17 UTC 2026","","smokeTests.PositiveTests","smokeTests.PositiveTests","payOnlineFormLoads"
