"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","152","Main page can be opened and loaded","","Thu Feb 26 13:47:37 UTC 2026","passed","Thu Feb 26 13:47:37 UTC 2026","","smokeTests.PositiveTests","smokeTests.PositiveTests","openMainPage"
"","153","Pay online is loading","","Thu Feb 26 13:47:37 UTC 2026","passed","Thu Feb 26 13:47:37 UTC 2026","","smokeTests.PositiveTests","smokeTests.PositiveTests","payOnlineFormLoads"
"","3","Reservation is working","","Thu Feb 26 13:47:37 UTC 2026","skipped","Thu Feb 26 13:47:37 UTC 2026","","smokeTests.PositiveTests","smokeTests.PositiveTests","reserveARoomComplete"
"","153","Pay online is working","","Thu Feb 26 13:47:37 UTC 2026","passed","Thu Feb 26 13:47:37 UTC 2026","","smokeTests.PositiveTests","smokeTests.PositiveTests","payOnlineFormWorks"
"","154","Search results can be opened and displayed","","Thu Feb 26 13:47:37 UTC 2026","passed","Thu Feb 26 13:47:37 UTC 2026","","smokeTests.PositiveTests","smokeTests.PositiveTests","searchResultsCanBeLoaded"
"","153","Can start reserving a room","","Thu Feb 26 13:47:37 UTC 2026","passed","Thu Feb 26 13:47:37 UTC 2026","","smokeTests.PositiveTests","smokeTests.PositiveTests","reserveARoomOpens"
