"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","139","Pay online is working","","Sun Feb 22 02:35:43 UTC 2026","passed","Sun Feb 22 02:35:43 UTC 2026","","smokeTests.PositiveTests","smokeTests.PositiveTests","payOnlineFormWorks"
"","145","Pay online is loading","","Sun Feb 22 02:35:43 UTC 2026","passed","Sun Feb 22 02:35:43 UTC 2026","","smokeTests.PositiveTests","smokeTests.PositiveTests","payOnlineFormLoads"
"","144","Main page can be opened and loaded","","Sun Feb 22 02:35:43 UTC 2026","passed","Sun Feb 22 02:35:43 UTC 2026","","smokeTests.PositiveTests","smokeTests.PositiveTests","openMainPage"
"","147","Can start reserving a room","","Sun Feb 22 02:35:43 UTC 2026","passed","Sun Feb 22 02:35:43 UTC 2026","","smokeTests.PositiveTests","smokeTests.PositiveTests","reserveARoomOpens"
"","1","Reservation is working","","Sun Feb 22 02:35:43 UTC 2026","skipped","Sun Feb 22 02:35:43 UTC 2026","","smokeTests.PositiveTests","smokeTests.PositiveTests","reserveARoomComplete"
"","144","Search results can be opened and displayed","","Sun Feb 22 02:35:43 UTC 2026","passed","Sun Feb 22 02:35:43 UTC 2026","","smokeTests.PositiveTests","smokeTests.PositiveTests","searchResultsCanBeLoaded"
