"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","100","Can start reserving a room","","Fri Feb 20 11:46:50 UTC 2026","passed","Fri Feb 20 11:46:50 UTC 2026","","smokeTests.PositiveTests","smokeTests.PositiveTests","reserveARoomOpens"
"","102","Reservation is working","","Fri Feb 20 11:46:50 UTC 2026","passed","Fri Feb 20 11:46:50 UTC 2026","","smokeTests.PositiveTests","smokeTests.PositiveTests","reserveARoomComplete"
"","100","Pay online is loading","","Fri Feb 20 11:46:50 UTC 2026","passed","Fri Feb 20 11:46:50 UTC 2026","","smokeTests.PositiveTests","smokeTests.PositiveTests","payOnlineFormLoads"
"","100","Main page can be opened and loaded","","Fri Feb 20 11:46:50 UTC 2026","passed","Fri Feb 20 11:46:50 UTC 2026","","smokeTests.PositiveTests","smokeTests.PositiveTests","openMainPage"
"","101","Search results can be opened and displayed","","Fri Feb 20 11:46:50 UTC 2026","passed","Fri Feb 20 11:46:50 UTC 2026","","smokeTests.PositiveTests","smokeTests.PositiveTests","searchResultsCanBeLoaded"
"","100","Pay online is working","","Fri Feb 20 11:46:50 UTC 2026","passed","Fri Feb 20 11:46:50 UTC 2026","","smokeTests.PositiveTests","smokeTests.PositiveTests","payOnlineFormWorks"
