"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","92","Reservation is working","","Fri Feb 20 14:51:16 UTC 2026","passed","Fri Feb 20 14:51:16 UTC 2026","","smokeTests.PositiveTests","smokeTests.PositiveTests","reserveARoomComplete"
"","93","Main page can be opened and loaded","","Fri Feb 20 14:51:16 UTC 2026","passed","Fri Feb 20 14:51:16 UTC 2026","","smokeTests.PositiveTests","smokeTests.PositiveTests","openMainPage"
"","91","Pay online is loading","","Fri Feb 20 14:51:16 UTC 2026","passed","Fri Feb 20 14:51:16 UTC 2026","","smokeTests.PositiveTests","smokeTests.PositiveTests","payOnlineFormLoads"
"","91","Search results can be opened and displayed","","Fri Feb 20 14:51:16 UTC 2026","passed","Fri Feb 20 14:51:16 UTC 2026","","smokeTests.PositiveTests","smokeTests.PositiveTests","searchResultsCanBeLoaded"
"","91","Can start reserving a room","","Fri Feb 20 14:51:16 UTC 2026","passed","Fri Feb 20 14:51:16 UTC 2026","","smokeTests.PositiveTests","smokeTests.PositiveTests","reserveARoomOpens"
"","92","Pay online is working","","Fri Feb 20 14:51:16 UTC 2026","passed","Fri Feb 20 14:51:16 UTC 2026","","smokeTests.PositiveTests","smokeTests.PositiveTests","payOnlineFormWorks"
