"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","133","Pay online is loading","","Thu Feb 26 13:33:35 UTC 2026","passed","Thu Feb 26 13:33:35 UTC 2026","","smokeTests.PositiveTests","smokeTests.PositiveTests","payOnlineFormLoads"
"","136","Main page can be opened and loaded","","Thu Feb 26 13:33:35 UTC 2026","passed","Thu Feb 26 13:33:35 UTC 2026","","smokeTests.PositiveTests","smokeTests.PositiveTests","openMainPage"
"","134","Search results can be opened and displayed","","Thu Feb 26 13:33:35 UTC 2026","passed","Thu Feb 26 13:33:35 UTC 2026","","smokeTests.PositiveTests","smokeTests.PositiveTests","searchResultsCanBeLoaded"
"","2","Reservation is working","","Thu Feb 26 13:33:35 UTC 2026","skipped","Thu Feb 26 13:33:35 UTC 2026","","smokeTests.PositiveTests","smokeTests.PositiveTests","reserveARoomComplete"
"","135","Can start reserving a room","","Thu Feb 26 13:33:35 UTC 2026","passed","Thu Feb 26 13:33:35 UTC 2026","","smokeTests.PositiveTests","smokeTests.PositiveTests","reserveARoomOpens"
"","134","Pay online is working","","Thu Feb 26 13:33:35 UTC 2026","passed","Thu Feb 26 13:33:35 UTC 2026","","smokeTests.PositiveTests","smokeTests.PositiveTests","payOnlineFormWorks"
