"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","123","Search results can be opened and displayed","","Sun Feb 22 01:22:25 UTC 2026","passed","Sun Feb 22 01:22:26 UTC 2026","","smokeTests.PositiveTests","smokeTests.PositiveTests","searchResultsCanBeLoaded"
"","123","Pay online is working","","Sun Feb 22 01:22:25 UTC 2026","passed","Sun Feb 22 01:22:26 UTC 2026","","smokeTests.PositiveTests","smokeTests.PositiveTests","payOnlineFormWorks"
"","123","Main page can be opened and loaded","","Sun Feb 22 01:22:25 UTC 2026","passed","Sun Feb 22 01:22:26 UTC 2026","","smokeTests.PositiveTests","smokeTests.PositiveTests","openMainPage"
"","124","Pay online is loading","","Sun Feb 22 01:22:25 UTC 2026","passed","Sun Feb 22 01:22:26 UTC 2026","","smokeTests.PositiveTests","smokeTests.PositiveTests","payOnlineFormLoads"
"","124","Reservation is working","","Sun Feb 22 01:22:25 UTC 2026","passed","Sun Feb 22 01:22:26 UTC 2026","","smokeTests.PositiveTests","smokeTests.PositiveTests","reserveARoomComplete"
"","122","Can start reserving a room","","Sun Feb 22 01:22:25 UTC 2026","passed","Sun Feb 22 01:22:26 UTC 2026","","smokeTests.PositiveTests","smokeTests.PositiveTests","reserveARoomOpens"
