"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","85","Main page can be opened and loaded","","Fri Feb 20 12:40:22 UTC 2026","passed","Fri Feb 20 12:40:22 UTC 2026","","smokeTests.PositiveTests","smokeTests.PositiveTests","openMainPage"
"","84","Reservation is working","","Fri Feb 20 12:40:22 UTC 2026","passed","Fri Feb 20 12:40:22 UTC 2026","","smokeTests.PositiveTests","smokeTests.PositiveTests","reserveARoomComplete"
"","85","Search results can be opened and displayed","","Fri Feb 20 12:40:22 UTC 2026","passed","Fri Feb 20 12:40:22 UTC 2026","","smokeTests.PositiveTests","smokeTests.PositiveTests","searchResultsCanBeLoaded"
"","84","Pay online is loading","","Fri Feb 20 12:40:22 UTC 2026","passed","Fri Feb 20 12:40:22 UTC 2026","","smokeTests.PositiveTests","smokeTests.PositiveTests","payOnlineFormLoads"
"","85","Can start reserving a room","","Fri Feb 20 12:40:22 UTC 2026","passed","Fri Feb 20 12:40:22 UTC 2026","","smokeTests.PositiveTests","smokeTests.PositiveTests","reserveARoomOpens"
"","86","Pay online is working","","Fri Feb 20 12:40:22 UTC 2026","passed","Fri Feb 20 12:40:22 UTC 2026","","smokeTests.PositiveTests","smokeTests.PositiveTests","payOnlineFormWorks"
