"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","184","Search results can be opened and displayed","","Thu Feb 26 13:24:49 UTC 2026","passed","Thu Feb 26 13:24:49 UTC 2026","","smokeTests.PositiveTests","smokeTests.PositiveTests","searchResultsCanBeLoaded"
"","184","Pay online is loading","","Thu Feb 26 13:24:49 UTC 2026","passed","Thu Feb 26 13:24:49 UTC 2026","","smokeTests.PositiveTests","smokeTests.PositiveTests","payOnlineFormLoads"
"","190","Can start reserving a room","","Thu Feb 26 13:24:49 UTC 2026","passed","Thu Feb 26 13:24:49 UTC 2026","","smokeTests.PositiveTests","smokeTests.PositiveTests","reserveARoomOpens"
"","187","Main page can be opened and loaded","","Thu Feb 26 13:24:49 UTC 2026","passed","Thu Feb 26 13:24:49 UTC 2026","","smokeTests.PositiveTests","smokeTests.PositiveTests","openMainPage"
"","1","Reservation is working","","Thu Feb 26 13:24:49 UTC 2026","skipped","Thu Feb 26 13:24:49 UTC 2026","","smokeTests.PositiveTests","smokeTests.PositiveTests","reserveARoomComplete"
"","187","Pay online is working","","Thu Feb 26 13:24:49 UTC 2026","passed","Thu Feb 26 13:24:49 UTC 2026","","smokeTests.PositiveTests","smokeTests.PositiveTests","payOnlineFormWorks"
