"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","Reservation is working","","Thu Feb 26 14:30:28 UTC 2026","skipped","Thu Feb 26 14:30:28 UTC 2026","","smokeTests.PositiveTests","smokeTests.PositiveTests","reserveARoomComplete"
"","125","Main page can be opened and loaded","","Thu Feb 26 14:30:28 UTC 2026","passed","Thu Feb 26 14:30:28 UTC 2026","","smokeTests.PositiveTests","smokeTests.PositiveTests","openMainPage"
"","126","Pay online is working","","Thu Feb 26 14:30:28 UTC 2026","passed","Thu Feb 26 14:30:28 UTC 2026","","smokeTests.PositiveTests","smokeTests.PositiveTests","payOnlineFormWorks"
"","126","Search results can be opened and displayed","","Thu Feb 26 14:30:28 UTC 2026","passed","Thu Feb 26 14:30:28 UTC 2026","","smokeTests.PositiveTests","smokeTests.PositiveTests","searchResultsCanBeLoaded"
"","127","Can start reserving a room","","Thu Feb 26 14:30:28 UTC 2026","passed","Thu Feb 26 14:30:28 UTC 2026","","smokeTests.PositiveTests","smokeTests.PositiveTests","reserveARoomOpens"
"","124","Pay online is loading","","Thu Feb 26 14:30:28 UTC 2026","passed","Thu Feb 26 14:30:28 UTC 2026","","smokeTests.PositiveTests","smokeTests.PositiveTests","payOnlineFormLoads"
