"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","161","Pay online is working","","Thu Feb 26 13:14:28 UTC 2026","passed","Thu Feb 26 13:14:28 UTC 2026","","smokeTests.PositiveTests","smokeTests.PositiveTests","payOnlineFormWorks"
"","165","Search results can be opened and displayed","","Thu Feb 26 13:14:28 UTC 2026","passed","Thu Feb 26 13:14:28 UTC 2026","","smokeTests.PositiveTests","smokeTests.PositiveTests","searchResultsCanBeLoaded"
"","1","Reservation is working","","Thu Feb 26 13:14:28 UTC 2026","skipped","Thu Feb 26 13:14:28 UTC 2026","","smokeTests.PositiveTests","smokeTests.PositiveTests","reserveARoomComplete"
"","161","Can start reserving a room","","Thu Feb 26 13:14:28 UTC 2026","passed","Thu Feb 26 13:14:28 UTC 2026","","smokeTests.PositiveTests","smokeTests.PositiveTests","reserveARoomOpens"
"","163","Pay online is loading","","Thu Feb 26 13:14:28 UTC 2026","passed","Thu Feb 26 13:14:28 UTC 2026","","smokeTests.PositiveTests","smokeTests.PositiveTests","payOnlineFormLoads"
"","163","Main page can be opened and loaded","","Thu Feb 26 13:14:28 UTC 2026","passed","Thu Feb 26 13:14:28 UTC 2026","","smokeTests.PositiveTests","smokeTests.PositiveTests","openMainPage"
