"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","104","Can start reserving a room","","Fri Feb 20 12:10:10 UTC 2026","passed","Fri Feb 20 12:10:10 UTC 2026","","smokeTests.PositiveTests","smokeTests.PositiveTests","reserveARoomOpens"
"","105","Reservation is working","","Fri Feb 20 12:10:10 UTC 2026","passed","Fri Feb 20 12:10:10 UTC 2026","","smokeTests.PositiveTests","smokeTests.PositiveTests","reserveARoomComplete"
"","105","Pay online is loading","","Fri Feb 20 12:10:10 UTC 2026","passed","Fri Feb 20 12:10:10 UTC 2026","","smokeTests.PositiveTests","smokeTests.PositiveTests","payOnlineFormLoads"
"","107","Pay online is working","","Fri Feb 20 12:10:10 UTC 2026","passed","Fri Feb 20 12:10:10 UTC 2026","","smokeTests.PositiveTests","smokeTests.PositiveTests","payOnlineFormWorks"
"","106","Search results can be opened and displayed","","Fri Feb 20 12:10:10 UTC 2026","passed","Fri Feb 20 12:10:10 UTC 2026","","smokeTests.PositiveTests","smokeTests.PositiveTests","searchResultsCanBeLoaded"
"","104","Main page can be opened and loaded","","Fri Feb 20 12:10:10 UTC 2026","passed","Fri Feb 20 12:10:10 UTC 2026","","smokeTests.PositiveTests","smokeTests.PositiveTests","openMainPage"
